Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 1,Coverage (%) Sample 2,Coverage (%) Sample 3,Coverage (%) Sample 4,Coverage (%) Sample 5,Coverage (%) Sample 6,Coverage (%) Sample 7,Coverage (%) Sample 8,Coverage (%) Sample 9,Coverage (%) Sample 10,Coverage (%) Sample 11,Coverage (%) Sample 12,Coverage (%) Sample 13,Coverage (%) Sample 14,Coverage (%) Sample 15,Coverage (%) Sample 16,Coverage (%) Sample 17,Coverage (%) Sample 18,Coverage (%) Sample 19,Coverage (%) Sample 20,Area Sample 1,Area Sample 2,Area Sample 3,Area Sample 4,Area Sample 5,Area Sample 6,Area Sample 7,Area Sample 8,Area Sample 9,Area Sample 10,Area Sample 11,Area Sample 12,Area Sample 13,Area Sample 14,Area Sample 15,Area Sample 16,Area Sample 17,Area Sample 18,Area Sample 19,Area Sample 20,#Peptides,#Unique,#Spec Sample 1,#Spec Sample 2,#Spec Sample 3,#Spec Sample 4,#Spec Sample 5,#Spec Sample 6,#Spec Sample 7,#Spec Sample 8,#Spec Sample 9,#Spec Sample 10,#Spec Sample 11,#Spec Sample 12,#Spec Sample 13,#Spec Sample 14,#Spec Sample 15,#Spec Sample 16,#Spec Sample 17,#Spec Sample 18,#Spec Sample 19,#Spec Sample 20,PTM,Avg. Mass,Description
92,585,GROUPS_18654,37.31,10,10,10,0,7,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,4.57E7,3.02E7,,4.38E5,,,,,,3.35E5,1.13E6,,,,,,,,,,2,2,6,4,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Carbamidomethylation,21722,hypothetical protein
360,1107,KNOT_27053678,37.17,8,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,2,2,0,0,,,,,,,8.53E4,,,,6.05E4,,,,,,,,,,4,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,0,,51607,ATP synthase subunit beta
583,1006,KNOT_4405140,37.17,15,9,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,9.92E5,9.44E5,,,,,,7.27E5,,,,,,,,,,,,1.65E5,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Oxidation (M),13354,50S ribosomal protein L7/L12
346,930,GROUPS_15118687,37.06,4,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,,5.37E5,,,,8.6E4,,0E0,,,,,,,,,2.14E5,1.38E5,,,3,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,Oxidation (M),87976,hypothetical protein
1914,447,KNOT_3799915,37.06,11,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,,,,,,,,,,,,,,,,,4.71E4,,,,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,14460,hypothetical protein
87,546,KNOT_25283282,36.95,11,4,4,5,11,4,0,0,0,0,4,11,0,0,0,4,8,0,0,0,0,,5.88E4,1.43E4,2.17E8,7.47E7,,,,,,3.08E5,,,,1.87E7,0E0,,,,,3,3,1,2,1,2,2,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,Oxidation (M),23610,hypothetical protein
35,187,KNOT_17298200,36.88,10,6,6,6,6,6,0,6,6,0,6,6,0,0,0,0,0,0,4,0,0,2.67E6,1.71E6,2.25E7,3.62E7,2.34E6,,4.35E6,5.96E6,,4.94E6,1.1E7,,,,,,,1.19E5,,,2,2,3,1,3,6,1,0,2,2,0,2,4,0,0,0,0,0,0,1,0,0,Oxidation (M),27801,hypothetical protein
886,413,KNOT_22981013,36.86,10,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,5,0,0,,,,,,,4.27E5,,,4.9E4,,,,,,,,9E4,,,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,,17783,hypothetical protein
4291,759,KNOT_2499502,36.86,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,,,,,,,,,,,,,,,,,1.43E5,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,22502,2 3-bisphosphoglycerate-dependent phosphoglycerate mutase
2852,364,KNOT_7031561,36.85,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,,,,,,,,,,,,,,,,,3.31E5,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,16692,ATP synthase epsilon chain
754,344,GROUPS_15979865,36.80,6,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,7.42E4,,,6.62E3,,,,,,,,,,,,,3,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Oxidation (M),75119,hypothetical protein
1027,1555,KNOT_6169007,36.79,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,,,,,,,,,,,,,,,,,1.18E5,,,2.76E4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,,16816,hypothetical protein
664,709,KNOT_6610115,36.75,7,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,2,0,0,0,,,,,,,,,,5.68E4,0E0,,,,,,1.39E6,,,,3,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,,42578,Secreted 45 kDa protein
643,414,KNOT_6679100,36.73,8,0,0,2,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,,,3.23E4,,,,0E0,,,,,,,,1.87E6,,,,,,3,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,43922,hypothetical protein
1835,166,GROUPS_15777744,36.71,12,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,,,,,,,,,,,,,,,,,2.22E5,,,,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,13935,hypothetical protein
385,159,KNOT_484246,36.64,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0E0,4.03E5,1.32E5,,,,,,,,,,,,,,,,2,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,75940,Sialic acid TRAP transporter permease protein SiaT
476,950,GROUPS_15169638,36.63,8,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,,,,,1.18E4,6.46E4,,1.55E5,,,,,,,,,0E0,,,,4,4,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Oxidation (M),63403,hypothetical protein
34,179,KNOT_12698514,36.59,9,4,4,0,0,4,4,4,0,0,5,0,0,0,0,4,0,0,0,0,0,6.32E6,4.51E6,,,4.19E4,2.25E6,1.01E6,,,6.16E3,,,,,3.63E5,,,,,,2,2,11,6,0,0,2,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,Oxidation (M),26464,hypothetical protein
480,565,KNOT_14360378,36.57,7,2,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,8.36E4,,,,,,5.34E5,,,,2.08E5,,,,,,,,,,3,3,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,Carbamidomethylation,49805,hypothetical protein
1258,153,GROUPS_15571061,36.57,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.59E6,,,,,,,,,,,,,,,,,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,45876,Putative competence-damage inducible protein
662,1537,KNOT_2246711,36.48,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0E0,,1.81E5,,,,,,,,,,,1.89E5,,,,,,,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,73072,hypothetical protein
359,994,KNOT_32332345,36.46,4,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,,,,7.37E4,,,2.47E5,2.32E5,,,,,,,,,,,,1.61E5,3,3,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,,70687,DNA-directed RNA polymerase subunit beta'
1430,129,GROUPS_7597182,36.45,14,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,5.26E4,,,,,,,,,,,,,,,,,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9769,Nodulation protein F
466,586,KNOT_11965527,36.41,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,,,,,,,,,,,,,,,,0E0,4.51E4,,,9.44E4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,Oxidation (M),76918,Sensor histidine kinase LiaS
167,854,KNOT_11489468,36.40,4,0,0,2,0,2,0,0,0,0,0,0,0,0,4,0,2,1,2,0,1,,,2.09E5,,1.25E4,,,,,,,,,1.03E5,,7.51E4,5.3E4,7.56E4,,1.04E5,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,1,1,0,1,Oxidation (M),57528,hypothetical protein
862,380,KNOT_1073135,36.37,6,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7.15E3,1.12E5,,,,,,,,,,,,,,,,,,3,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oxidation (M),51454,Fumarate reductase flavoprotein subunit
1431,221,KNOT_34095494,36.36,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,,,,,,,,,,,,,,,1.96E5,,,,,,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,31918,putative glycerophosphoryl diester phosphodiesterase 1
806,322,KNOT_1098216,36.30,16,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,9,0,0,0,0,1.75E5,,,,,,,2.93E5,,,,,,,,0E0,,,,,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,,15353,hypothetical protein
1029,2100,KNOT_731631,36.26,28,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,3.11E3,,,,,,,,,,,,,,,,5.54E5,1.66E6,,,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,9321,hypothetical protein
677,640,KNOT_1577653,36.24,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.38E4,,,,,,,,,,,,,,,,,3.44E5,,,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Oxidation (M),134256,Photosystem I assembly protein Ycf3
775,1742,KNOT_661137,36.21,9,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,3,0,0,0,,,,,,,,1.17E6,1.19E5,,,,,,,,8.76E5,,,,3,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,Carbamidomethylation,43307,Coenzyme A biosynthesis bifunctional protein CoaBC
278,1612,KNOT_15788864,36.14,15,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,3.51E5,,,0E0,,,,,,,,,,,,1.9E5,1.41E5,,3.5E5,,4,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,,33307,hypothetical protein
404,429,GROUPS_11328699,36.11,11,0,4,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9.29E4,2.44E5,,2.69E6,,,,,,,,,,,,,,,,3,3,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carbamidomethylation,35003,hypothetical protein
224,617,KNOT_788282,36.04,4,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,,8.95E5,,,3.01E5,,,,1.45E5,,1.42E5,,,,,,,3.71E5,7.18E3,,3,3,0,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,,65336,Sensor histidine kinase ResE
108,401,KNOT_32138684,36.02,13,13,13,0,13,13,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,4.75E7,4.65E7,,2.45E6,2.39E6,,,,6.98E6,1.06E6,,,,,,,,,,,2,2,3,3,0,1,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,,10694,hypothetical protein
171,307,GROUPS_14888825,35.96,7,2,0,2,2,7,2,0,2,0,2,2,0,0,0,0,0,0,0,0,0,,,,,0E0,,,,,,,,,,,,,,,,2,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,Carbamidomethylation; Oxidation (M),40720,hypothetical protein
432,8881,KNOT_34105432,35.85,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,5,0,0,,,,,,,,,,,,,1.37E5,,,,9.19E6,,,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,,14920,Alginate biosynthesis protein AlgA
340,712,KNOT_31905934,35.84,4,0,2,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,,0E0,,,,,4.19E5,,,5.66E4,0E0,,,,,,,,,,3,3,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,Oxidation (M),59407,hypothetical protein
838,335,KNOT_4152196,35.76,5,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,,,0E0,,,,,,,1.69E4,,,,,,,,,,2,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,56109,hypothetical protein
61,511,GROUPS_7896504,35.74,4,2,1,1,1,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0E0,1.19E6,1.1E5,,2.55E5,6.05E4,,5.12E5,8.08E4,1.53E5,8.99E4,,,,,,,,,,3,3,1,2,2,1,2,1,2,3,1,1,1,0,0,0,0,0,0,0,0,0,,70597,hypothetical protein
114,211,KNOT_13039234,35.73,4,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,2,0,0,0,4.06E5,5.57E5,5.8E5,6.83E5,2.28E5,4.43E4,3.56E5,3.88E5,4.1E5,4.2E5,,,,,,,9.3E5,,,,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,,47269,hypothetical protein
912,1403,KNOT_114802,35.70,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,1.36E5,,4.92E5,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,,67489,hypothetical protein
1582,678,KNOT_868562,35.69,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,,3.37E3,,,,,,,,,,0E0,,,,,,,,2,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,49478,Imidazolonepropionase
209,1249,KNOT_31767634,35.67,29,0,0,0,0,14,0,0,0,0,0,29,0,14,14,0,14,0,0,0,0,,,,,1.2E4,,,,,,5.28E6,,8.38E3,4.87E3,,1.02E4,,,,,3,3,0,0,0,0,1,0,0,0,0,0,3,0,1,1,0,1,0,0,0,0,,11826,hypothetical protein
969,436,KNOT_2660548,35.66,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2.91E5,,,,,,,,,,,,,,,,,,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18011,Dihydrolipoyl dehydrogenase
872,1089,KNOT_1328299,35.49,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,7.35E4,,,,,,,,,,2.23E5,0E0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,,47030,Sensory/regulatory protein RpfC
198,805,KNOT_12819815,35.43,6,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,3,,2.95E4,,4.69E5,,,,,,,9.95E4,,0E0,,,,4.55E4,,2.43E4,6.8E4,3,3,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,Carbamidomethylation; Oxidation (M),38390,GMP reductase
632,1451,KNOT_33708496,35.41,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1.35E6,,,,,,,,,,,,,,,,2.56E5,3.54E5,,,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Carbamidomethylation; Oxidation (M),53089,Chaperone protein ClpB 1
101,543,KNOT_1182459,35.23,3,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,2,0,0,0,,,7.31E4,8.89E4,,,,,,3.94E4,,0E0,,,,,3.57E5,,,,2,2,0,0,2,2,1,1,0,0,0,1,1,3,0,0,0,0,1,0,0,0,,53813,Type IV pilus biogenesis and competence protein PilQ
177,1273,KNOT_12119345,35.19,10,0,0,0,6,6,0,6,0,0,0,6,0,0,6,6,0,4,6,0,0,,,,9.45E4,6.33E4,,7.75E4,,,,1.16E5,,,6.61E4,8.05E4,,0E0,1.39E5,,,2,2,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,,24789,hypothetical protein
366,1284,GROUPS_11839549,35.15,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,2.48E5,3.4E5,,,,,,,,,,,,,,,6.78E5,5.21E4,,,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,,36169,hypothetical protein
3671,397,KNOT_3195565,35.11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,,,,,,,,,,,,,,,,6.55E5,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,30414,UDP-N-acetylglucosamine 4-epimerase
3671,647,GROUPS_12666838,35.11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,,,,,,,,,,,,,,,,6.55E5,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,30677,UDP-N-acetylglucosamine 4-epimerase
1898,901,KNOT_34741668,35.04,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,,,,,,,,,,,,,,,,,,,2.34E5,2.85E5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,13582,50S ribosomal protein L7/L12
1894,8174,GROUPS_3474116,35.01,11,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,,1.17E6,,,,,,,,,,,,,,,1.99E5,,,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,20578,Valine--tRNA ligase
373,1015,KNOT_2350556,34.88,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,4.89E5,2.4E6,,,,,,,,,,,,,,,2.02E5,5.81E4,0E0,,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Oxidation (M),59290,hypothetical protein
612,219,GROUPS_13148728,34.75,17,5,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,11,0,0,0,1.57E5,2.38E5,,,,,,4.79E5,,,,,,,,,0E0,,,,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Oxidation (M),16884,hypothetical protein
660,621,KNOT_2526821,34.71,5,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,,4.87E5,,,,,,,,,1.62E5,,,,,,,,,,3,3,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Carbamidomethylation; Oxidation (M),67961,Cytochrome c-550
403,374,KNOT_5051227,34.71,6,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,,,4.55E4,1.73E5,4.79E4,,,,,,,,,,,,6.24E5,,,,2,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,41380,Multifunctional CCA protein
1678,316,KNOT_32760561,34.69,10,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,,0E0,,,,,,,,,,,,,,,7.08E5,,,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Oxidation (M),24497,Beta-barrel assembly-enhancing protease
759,1514,GROUPS_14041094,34.67,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,0E0,,,,,,,,,,,,,,,1.72E6,,2.63E5,,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,81161,hypothetical protein
517,134,GROUPS_16226604,34.61,5,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5.14E5,,5.43E6,0E0,,,,,,,,,,,,,0E0,,,,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Oxidation (M),60290,hypothetical protein
942,2372,KNOT_1792416,34.57,6,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,,,,,,,,,,,,,,0E0,,4.09E4,,,,,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,,39206,NAD(P) transhydrogenase subunit alpha part 1
441,2132,KNOT_13156160,34.55,9,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,1.94E4,,5.39E6,,,,,,,,,,3.96E3,,,,,,,,3,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,33518,hypothetical protein
760,1634,KNOT_17647637,34.53,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,,7.81E3,,,,,,,,,,,,,,,2.84E5,9.72E4,,,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,51645,hypothetical protein
556,1234,KNOT_11354461,34.44,5,0,0,0,0,0,0,0,5,3,0,3,0,0,0,0,0,0,0,0,0,,,,,,,,2E5,2.2E5,,9.66E4,,,,,,,,,,3,3,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,,46327,hypothetical protein
82,185,GROUPS_8153740,34.41,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,3E6,3.37E6,2.72E6,3.71E6,1.04E6,1.57E5,8.27E5,8.04E5,6.18E5,1.38E6,7.02E5,4.03E4,,,,,,,,,1,1,1,1,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,11741,hypothetical protein
281,1016,KNOT_32311764,34.40,6,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0E0,,,,6.11E4,,,,,,0E0,,,,,,4.58E5,7.53E5,,,4,4,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,Carbamidomethylation,84915,hypothetical protein
891,856,KNOT_2218403,34.38,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,,,,,,,,1.42E4,,,,,,,,,3.78E5,,,,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,Oxidation (M),35560,HTH-type transcriptional repressor CarH
522,360,GROUPS_13038908,34.38,8,0,0,0,2,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,,,,5.33E5,,,,9.26E6,,,3.15E4,,,,,,,,,,2,2,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,,27022,Beta-barrel assembly-enhancing protease
1872,807,KNOT_22032197,34.29,12,9,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1E6,,,8.64E4,,,,,,,,,,,,,,,,,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carbamidomethylation,10974,hypothetical protein
1174,399,KNOT_2855289,34.29,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,,,,,,,,,,4.09E4,,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,60142,Efflux pump periplasmic linker BepF
442,378,KNOT_7173489,34.28,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2.25E5,9.5E4,0E0,,,,,,,,,,,,,,2,2,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,112400,hypothetical protein
206,354,GROUPS_2904920,34.21,2,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,1,,,,,,,3.05E4,2.11E4,,,,,3.96E4,,,0E0,,,,8.55E3,2,2,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,1,0,0,0,1,,77289,hypothetical protein
293,1059,GROUPS_9405143,34.19,11,4,4,4,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1.28E6,1.65E6,2.43E6,,,0E0,,,,,2.46E6,,,,,,,,,,3,3,1,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,23375,hypothetical protein
3314,537,KNOT_30806269,34.16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,,,,,,,,,,,,,,,,,9.09E5,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,23037,hypothetical protein
513,1021,KNOT_21452873,34.16,11,0,4,0,0,0,0,0,4,0,4,0,3,0,0,0,0,0,0,0,0,,8.09E5,,,,,,3.43E5,,2.87E5,,4.29E4,,,,,,,,,3,3,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,Oxidation (M),27497,Signal recognition particle protein
1900,1728,KNOT_13517696,34.14,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,,,,,,,,,,,,,,,,1.02E6,,,,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,31626,hypothetical protein
523,1611,KNOT_6937063,34.14,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,,,,,,,,,,,,,,,,,5.36E5,,,,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,Carbamidomethylation,38067,Lactate utilization protein A
83,308,KNOT_6798159,34.11,4,4,0,0,0,0,0,4,0,4,4,0,0,0,0,0,0,0,0,0,0,3.32E6,,,,,,3.91E4,,6.53E5,2.65E5,,,,,,,,,,,1,1,2,0,0,0,0,0,1,0,9,2,0,0,0,0,0,0,0,0,0,0,Carbamidomethylation,33889,hypothetical protein
1778,268,GROUPS_11913032,34.11,16,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0E0,,2.55E5,,,,,,,,,,,,,,,,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,11719,hypothetical protein
563,2055,KNOT_3078124,34.03,12,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,3,3,0,,,,,,8.44E3,,,,,,,,,,,1.76E6,3.72E5,7.81E4,,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,33477,Demethylrebeccamycin-D-glucose O-methyltransferase
1794,1485,GROUPS_2567031,34.01,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,,,,,,,,,,,,,,,,,,1.32E5,,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,12389,hypothetical protein
