Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) H4_Dry_BSA,Coverage (%) H4_Dry_nospike,Coverage (%) H4_Wet_BSA,Coverage (%) H4_Wet_nospike,Coverage (%) H5_dry_BSA,Coverage (%) H5_Dry_nospike,Coverage (%) H5_Wet_BSA,Coverage (%) H5_Wet_nospike,Coverage (%) H6_Dry_BSA,Coverage (%) H6_Dry_nospike,Coverage (%) H6_Wet_BSA,Coverage (%) H6_Wet_nospike,Coverage (%) H4_Wet_BSA_smalldatabase,Area H4_Dry_BSA,Area H4_Dry_nospike,Area H4_Wet_BSA,Area H4_Wet_nospike,Area H5_dry_BSA,Area H5_Dry_nospike,Area H5_Wet_BSA,Area H5_Wet_nospike,Area H6_Dry_BSA,Area H6_Dry_nospike,Area H6_Wet_BSA,Area H6_Wet_nospike,Area H4_Wet_BSA_smalldatabase,#Peptides,#Unique,#Spec H4_Dry_BSA,#Spec H4_Dry_nospike,#Spec H4_Wet_BSA,#Spec H4_Wet_nospike,#Spec H5_dry_BSA,#Spec H5_Dry_nospike,#Spec H5_Wet_BSA,#Spec H5_Wet_nospike,#Spec H6_Dry_BSA,#Spec H6_Dry_nospike,#Spec H6_Wet_BSA,#Spec H6_Wet_nospike,#Spec H4_Wet_BSA_smalldatabase,PTM,Avg. Mass,Description
228,757,GROUPS_15227912,21.85,2,0,0,0,0,0,0,0,0,2,0,0,0,0,,,,,,,,,0E0,,,,,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,28053,hypothetical protein
228,767,KNOT_32040546,21.85,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,0E0,,,,,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,99932,Ribonucleoside-diphosphate reductase 1 subunit alpha
228,880,KNOT_1990879,21.85,2,0,0,0,0,0,0,0,0,2,0,0,0,0,,,,,,,,,0E0,,,,,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,34288,putative lipoprotein YiaD
228,1196,KNOT_9796343,21.85,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,0E0,,,,,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,49463,hypothetical protein
261,357,GROUPS_13935097,21.82,2,0,0,0,0,0,0,0,2,0,0,0,0,0,,,,,,,,0E0,,,,,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,27793,hypothetical protein
261,383,KNOT_1380578,21.82,2,0,0,0,0,0,0,0,2,0,0,0,0,0,,,,,,,,0E0,,,,,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,30845,hypothetical protein
487,780,GROUPS_13426835,21.81,7,0,0,0,0,0,0,0,0,0,7,0,0,0,,,,,,,,,,0E0,,,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Carbamidomethylation,15573,hypothetical protein
127,36,GROUPS_7202710,21.61,2,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,29458,hypothetical protein
162,30,KNOT_9191003,21.61,2,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,27889,hypothetical protein
450,368,KNOT_8297326,21.58,16,0,16,0,0,0,0,0,0,0,0,0,0,0,,0E0,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,10710,ABC transporter ATP-binding protein NatA
26,261,KNOT_14321288,21.56,2,2,0,2,0,0,0,0,0,0,0,0,0,0,,,0E0,,,,,,,,,,,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,23995,hypothetical protein
26,414,KNOT_2715593,21.56,2,2,0,2,0,0,0,0,0,0,0,0,0,0,,,0E0,,,,,,,,,,,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,23469,Putative zinc metalloprotease
26,1083,KNOT_16912294,21.56,6,6,0,6,0,0,0,0,0,0,0,0,0,0,,,0E0,,,,,,,,,,,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,7718,hypothetical protein
26,1339,KNOT_25852794,21.56,3,3,0,3,0,0,0,0,0,0,0,0,0,0,,,0E0,,,,,,,,,,,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,19960,Periplasmic pH-dependent serine endoprotease DegQ
26,1741,KNOT_26968958,21.56,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,,0E0,,,,,,,,,,,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,53483,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
2,192,GROUPS_8424171,21.53,5,0,0,0,0,0,5,0,0,0,5,5,5,0,,,,,,,,,,,0E0,,,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,,11027,hypothetical protein
2,386,GROUPS_2709384,21.53,5,0,0,0,0,0,5,0,0,0,5,5,5,0,,,,,,,,,,,0E0,,,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,,10620,hypothetical protein
2,636,KNOT_4530883,21.53,2,0,0,0,0,0,2,0,0,0,2,2,2,0,,,,,,,,,,,0E0,,,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,,32382,Carboxylesterase NlhH
428,163,GROUPS_13103102,21.49,4,0,0,0,0,0,0,0,4,0,0,0,0,0,,,,,,,,0E0,,,,,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Oxidation (M),29926,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
512,864,KNOT_1586897,21.44,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0E0,,,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Carbamidomethylation; Oxidation (M),83376,hypothetical protein
325,592,KNOT_693563,21.41,8,0,0,0,0,0,0,0,0,0,0,0,8,0,,,,,,,,,,,,0E0,,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,25603,hypothetical protein
122,195,KNOT_21307018,21.24,2,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,,,,,,,,,0E0,,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,46991,Long-chain-fatty-acid--CoA ligase
122,558,KNOT_888914,21.24,4,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,,,,,,,,0E0,,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,17245,hypothetical protein
122,566,KNOT_10948104,21.24,5,0,0,0,0,0,0,0,0,0,0,0,5,0,,,,,,,,,,,,0E0,,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,14087,hypothetical protein
122,665,KNOT_1453482,21.24,4,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,,,,,,,,,0E0,,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,20749,hypothetical protein
122,702,KNOT_1730375,21.24,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,0E0,,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,85921,hypothetical protein
122,730,KNOT_22763426,21.24,5,0,0,0,0,0,0,0,0,0,0,0,5,0,,,,,,,,,,,,0E0,,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,15715,hypothetical protein
122,877,KNOT_8701105,21.24,7,0,0,0,0,0,0,0,0,0,0,0,7,0,,,,,,,,,,,,0E0,,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,11925,hypothetical protein
122,882,GROUPS_6966732,21.24,6,0,0,0,0,0,0,0,0,0,0,0,6,0,,,,,,,,,,,,0E0,,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,12184,hypothetical protein
122,900,KNOT_32290562,21.24,3,0,0,0,0,0,0,0,0,0,0,0,3,0,,,,,,,,,,,,0E0,,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,27965,hypothetical protein
122,906,KNOT_23347113,21.24,2,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,,,,,,,,,0E0,,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,32176,hypothetical protein
499,815,GROUPS_11290715,21.21,16,0,0,0,0,0,0,0,0,0,0,16,0,0,,,,,,,,,,,0E0,,,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,12530,Putative flagellin YvzB
386,1166,KNOT_3097216,21.20,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,0E0,,,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,43432,hypothetical protein
386,1240,KNOT_21948483,21.20,3,0,0,0,0,0,0,0,0,0,3,0,0,0,,,,,,,,,,0E0,,,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,21671,hypothetical protein
494,805,KNOT_6737925,20.66,3,0,0,0,0,0,0,0,0,0,3,0,0,0,,,,,,,,,,0E0,,,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,45832,Carboxypeptidase G2
418,2682,KNOT_301899,20.66,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,0E0,,,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,74725,Nicotinate dehydrogenase subunit B
259,161,KNOT_560850,20.62,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,0E0,,,,,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,57523,NADH-quinone oxidoreductase subunit G
359,806,KNOT_17255667,20.62,10,0,0,0,0,0,0,0,0,0,10,0,0,0,,,,,,,,,,0E0,,,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Oxidation (M),13255,hypothetical protein
495,807,GROUPS_5835338,20.60,7,0,0,0,0,0,0,0,0,0,7,0,0,0,,,,,,,,,,0E0,,,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Carbamidomethylation,15464,hypothetical protein
328,602,GROUPS_12808874,20.54,3,0,0,3,0,0,0,0,0,0,0,0,0,0,,,0E0,,,,,,,,,,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,36553,hypothetical protein
181,120,GROUPS_13181812,20.53,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,37760,hypothetical protein
498,813,KNOT_11661064,20.52,4,0,0,0,0,0,0,0,0,0,4,0,0,0,,,,,,,,,,0E0,,,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Carbamidomethylation; Oxidation (M),35058,Bifunctional oligoribonuclease and PAP phosphatase NrnA
438,313,KNOT_16038693,20.42,3,0,0,0,0,0,3,0,0,0,0,0,0,0,,,,,,0E0,,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,31531,Cbb3-type cytochrome c oxidase subunit FixP
360,820,KNOT_20680573,20.40,2,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,,,,,,,,,0E0,,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,32046,Methionine aminopeptidase 1
341,664,KNOT_7434683,20.38,10,0,0,0,0,10,0,0,0,0,0,0,0,0,,,,,0E0,,,,,,,,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Oxidation (M),14683,Phosphoserine phosphatase RsbU
262,206,KNOT_31103675,20.36,4,0,0,0,0,0,4,0,0,0,0,0,0,0,,,,,,0E0,,,,,,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,30962,putative nicotinate-nucleotide pyrophosphorylase [carboxylating]
503,826,KNOT_31920789,20.35,6,0,0,0,0,0,0,0,0,0,6,0,0,0,,,,,,,,,,0E0,,,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Oxidation (M),12677,hypothetical protein
285,372,KNOT_9509289,20.35,2,0,0,0,0,0,0,0,0,0,2,0,0,0,,,,,,,,,,0E0,,,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,54586,hypothetical protein
293,406,GROUPS_827114,20.34,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,0E0,,,,,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,60660,RNA helicase CrhR
665,2714,KNOT_13201551,20.33,6,0,0,0,0,0,0,6,0,0,0,0,0,0,,,,,,,0E0,,,,,,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Oxidation (M),29749,hypothetical protein
305,457,GROUPS_9094395,20.33,3,0,0,0,0,3,0,0,0,0,0,0,0,0,,,,,0E0,,,,,,,,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,31883,hypothetical protein
268,244,KNOT_14525439,20.28,7,0,0,0,0,0,0,0,0,7,0,0,0,0,,,,,,,,,0E0,,,,,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,7924,hypothetical protein
268,925,GROUPS_12650276,20.28,2,0,0,0,0,0,0,0,0,2,0,0,0,0,,,,,,,,,0E0,,,,,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,29457,Aminomethyltransferase
268,2374,KNOT_216321,20.28,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,0E0,,,,,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,77295,hypothetical protein
500,816,GROUPS_6963487,20.25,10,0,0,0,0,0,0,0,0,0,10,0,0,0,,,,,,,,,,0E0,,,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Oxidation (M),16443,Adenosine monophosphate-protein transferase SoFic
350,742,GROUPS_10371416,20.18,11,0,0,0,0,0,0,0,0,0,11,0,0,0,,,,,,,,,,0E0,,,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,15572,Glycogen accumulation regulator GarA
183,126,KNOT_20864151,20.03,2,0,0,0,0,0,0,0,0,0,2,0,0,0,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,26718,Ribosomal RNA small subunit methyltransferase E
