Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Trocas7-302-Bay,Coverage (%) Trocas7-306-Chav,Coverage (%) Trocas7-310-SMCP,Coverage (%) Trocas7-318-NMCP,Coverage (%) Trocas7-402-Bay,Coverage (%) Trocas7-406-Chav,Coverage (%) Trocas7-410-SMCP,Coverage (%) Trocas7-417-NMCP,Coverage (%) Trocas7-102-Bay,Coverage (%) Trocas7-106-Chav,Coverage (%) Trocas7-206-Chav,Coverage (%) Trocas7-110-SMCP,Coverage (%) Trocas7-126-NMCP,Coverage (%) Trocas7-202-Bay,Coverage (%) Trocas7-210-SMCP,Coverage (%) Trocas7-410-SMCP-DUP,Coverage (%) Trocas7-226-NMCP,Coverage (%) Trocas7-303-Bay,Coverage (%) Trocas7-310-SMCP-DUP,Coverage (%) Trocas7-102-Bay-DUP,Coverage (%) Trocas7-106-Chav-DUP,Coverage (%) Trocas7-302-Bay-DUP,Coverage (%) Trocas7-306-Chav-DUP,Coverage (%) Trocas7-503-Bay,Coverage (%) Trocas7-519-NMCP,Coverage (%) Trocas7-318-NMCP-DUP,Coverage (%) Trocas7-402-Bay-DUP,Coverage (%) Trocas7-406-Chav-DUP,Coverage (%) Trocas7-417-NMCP-DUP,Coverage (%) Trocas7-307-Chav,Coverage (%) Trocas7-311-SMCP,Coverage (%) Trocas7-319-NMCP,Coverage (%) Trocas7-507-Chav,Coverage (%) Trocas7-511-SMCP,Area Trocas7-302-Bay,Area Trocas7-306-Chav,Area Trocas7-310-SMCP,Area Trocas7-318-NMCP,Area Trocas7-402-Bay,Area Trocas7-406-Chav,Area Trocas7-410-SMCP,Area Trocas7-417-NMCP,Area Trocas7-102-Bay,Area Trocas7-106-Chav,Area Trocas7-206-Chav,Area Trocas7-110-SMCP,Area Trocas7-126-NMCP,Area Trocas7-202-Bay,Area Trocas7-210-SMCP,Area Trocas7-410-SMCP-DUP,Area Trocas7-226-NMCP,Area Trocas7-303-Bay,Area Trocas7-310-SMCP-DUP,Area Trocas7-102-Bay-DUP,Area Trocas7-106-Chav-DUP,Area Trocas7-302-Bay-DUP,Area Trocas7-306-Chav-DUP,Area Trocas7-503-Bay,Area Trocas7-519-NMCP,Area Trocas7-318-NMCP-DUP,Area Trocas7-402-Bay-DUP,Area Trocas7-406-Chav-DUP,Area Trocas7-417-NMCP-DUP,Area Trocas7-307-Chav,Area Trocas7-311-SMCP,Area Trocas7-319-NMCP,Area Trocas7-507-Chav,Area Trocas7-511-SMCP,#Peptides,#Unique,#Spec Trocas7-302-Bay,#Spec Trocas7-306-Chav,#Spec Trocas7-310-SMCP,#Spec Trocas7-318-NMCP,#Spec Trocas7-402-Bay,#Spec Trocas7-406-Chav,#Spec Trocas7-410-SMCP,#Spec Trocas7-417-NMCP,#Spec Trocas7-102-Bay,#Spec Trocas7-106-Chav,#Spec Trocas7-206-Chav,#Spec Trocas7-110-SMCP,#Spec Trocas7-126-NMCP,#Spec Trocas7-202-Bay,#Spec Trocas7-210-SMCP,#Spec Trocas7-410-SMCP-DUP,#Spec Trocas7-226-NMCP,#Spec Trocas7-303-Bay,#Spec Trocas7-310-SMCP-DUP,#Spec Trocas7-102-Bay-DUP,#Spec Trocas7-106-Chav-DUP,#Spec Trocas7-302-Bay-DUP,#Spec Trocas7-306-Chav-DUP,#Spec Trocas7-503-Bay,#Spec Trocas7-519-NMCP,#Spec Trocas7-318-NMCP-DUP,#Spec Trocas7-402-Bay-DUP,#Spec Trocas7-406-Chav-DUP,#Spec Trocas7-417-NMCP-DUP,#Spec Trocas7-307-Chav,#Spec Trocas7-311-SMCP,#Spec Trocas7-319-NMCP,#Spec Trocas7-507-Chav,#Spec Trocas7-511-SMCP,PTM,Avg. Mass,Description
4,2481,KNOT_5879241_PROKKA_348517,30.00,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,2.26E7,3.18E7,1.49E7,5.06E7,1E7,1.34E7,2.37E7,2.08E7,3.66E7,4.01E7,4.21E7,1.56E7,2.89E7,4.47E7,5.23E7,4.69E7,4.29E7,3.64E7,2.2E7,4.88E7,5.23E7,1.17E7,7.82E6,3.65E7,2.13E7,1.04E7,1.06E7,2.07E7,4.9E7,3.36E7,2.48E7,3.89E7,2.21E7,1.71E7,1,1,3,4,4,4,5,3,3,5,4,5,5,4,4,5,5,5,4,4,4,4,4,3,4,6,5,5,4,4,4,4,4,4,4,4,,4178,hypothetical protein
164,5786,GROUPS_15300994_PROKKA_672478,29.72,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.93E4,,3.45E3,,1.27E4,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,,14330,hypothetical protein
273,13812,KNOT_2775573_PROKKA_191315,29.47,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0E0,,,,,,,3.03E4,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Oxidation (M); Deamidation (NQ),23794,hypothetical protein
212,13622,KNOT_5954220_PROKKA_351078,29.36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,1.5E5,,,,,,,,,6.66E4,,,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,93798,Alanine racemase 1
641,13484,KNOT_15607442_PROKKA_628235,28.87,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0E0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,14233,Polar-differentiation response regulator DivK
281,2531,KNOT_3627619_PROKKA_251651,28.74,11,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,,0E0,,,,,,,,,,,,,,,,,,,,,,2.03E4,,,,,,,,,,,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,29139,hypothetical protein
24,13526,GROUPS_6087171_PROKKA_82828,28.73,3,3,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,3,0,0,3,0,3,3,3,0,0,3,3,0,0,3,3,9.82E4,,3.49E4,,,,,4.88E4,,,,,,,1.8E5,,,2.69E5,1.62E5,,,7.4E4,,5.75E4,2.09E4,1.3E5,,,2.81E4,2.34E4,,,0E0,1.04E4,1,1,5,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,4,0,0,4,0,3,1,2,0,0,1,1,0,0,2,1,,36447,hypothetical protein
60,5192,KNOT_32907886_PROKKA_865059,28.51,5,0,0,0,0,0,0,5,5,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,,,,,,,6.64E4,6.41E4,,,,,,,1.39E3,1.15E5,,,,,,,,2.17E4,,,,,1.82E5,,,,,,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,Oxidation (M),20485,hypothetical protein
81,13564,GROUPS_15294444_PROKKA_671756,28.49,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1.81E6,,,,,,,,,,1.36E4,,,,,,,9.97E2,,5.57E4,,,,,,,,3.54E3,,,,,,2.59E4,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,85852,Cyanophycin synthetase
284,13586,KNOT_32457275_PROKKA_851167,28.48,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3.02E4,,,,,,2.24E5,,,,,,,,,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,36014,3'-5' exoribonuclease YhaM
73,2505,GROUPS_15143844_PROKKA_650546,28.19,3,0,2,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,8.32E6,,1.05E6,2.21E4,,,,1.38E6,,,,,,,,,1.79E6,,,,,,,,,6.95E4,,,,,,,,2,2,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Deamidation (NQ),99836,hypothetical protein
286,7691,GROUPS_4322745_PROKKA_50920,28.15,15,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,,,,,,,,,,,,3.39E4,,,,,,,,,,,,,,,,,,,,0E0,,,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Deamidation (NQ),23207,putative phospholipid-binding protein MlaC
147,13459,KNOT_5638048_PROKKA_340499,28.06,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,2.82E5,,,,3.9E5,,,,,,,,,2.44E4,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,27782,hypothetical protein
38,6593,KNOT_15160546_PROKKA_618901,27.98,3,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,3,0,3,1.02E6,,,,1.68E5,1.47E5,,,,,,,,,,,,,,,,,,,8.94E4,,,2.47E4,,,4.97E4,1.04E5,,3.05E3,1,1,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,3,0,1,,30197,Exodeoxyribonuclease 8
279,2503,KNOT_21717571_PROKKA_710855,27.93,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,3.06E3,,,,,,,,,,,,,2.63E4,,,,,,,,,,,,,,,,,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,65131,Penicillin-binding protein PbpB
779,3676,KNOT_23618208_PROKKA_748842,27.76,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0E0,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,24517,hypothetical protein
194,11982,GROUPS_9013476_PROKKA_204595,27.69,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,,8.62E4,,,,,,,,,,,,,,,1.82E5,,,,,,,,,,,,,8.3E4,,,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,25793,hypothetical protein
776,13469,KNOT_794888_PROKKA_51036,27.55,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,7.19E4,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,49771,hypothetical protein
350,13464,GROUPS_11802331_PROKKA_415567,27.53,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0E0,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,19077,hypothetical protein
303,14013,KNOT_6855492_PROKKA_384771,27.50,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,,,,,,,,,,,,,,3.99E5,,,,,,,,,,,,,,,,4.72E3,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,27937,hypothetical protein
77,13488,GROUPS_14706705_PROKKA_630619,27.36,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,3.13E4,1.5E5,5.41E5,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,,15027,hypothetical protein
66,9914,KNOT_22269527_PROKKA_728304,27.32,19,0,0,0,0,0,0,0,0,19,19,0,0,0,0,19,0,19,0,0,19,19,0,19,0,19,0,0,0,0,0,0,0,0,0,,,,,,,,,1.76E4,1.2E4,,,,,3.82E4,,9.03E4,,,3.33E4,2.4E4,,2.05E4,,1.37E5,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,,5075,hypothetical protein
105,13439,GROUPS_15154935_PROKKA_652754,27.08,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,4.67E4,5.26E4,4.42E4,,,,1.73E4,,3.82E4,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,38167,hypothetical protein
199,2489,GROUPS_12475227_PROKKA_454450,26.99,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,,,,,4.51E4,,,,,,,,,,,,,,,,,,,2.25E4,,,3.4E4,,,,,,,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,14369,Ribonuclease P protein component
87,2491,KNOT_7463374_PROKKA_408824,26.77,6,0,0,0,0,6,0,0,0,0,0,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,,,,,4.8E4,,,,,,3.54E5,1.65E5,,4.43E5,,,,,,,,,,,,,,2.31E3,,,,,,,1,1,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Oxidation (M),16180,Serine 3-dehydrogenase
222,13475,KNOT_31656742_PROKKA_832348,26.76,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,2.66E6,,,,,,,,,,,,,,0E0,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Carbamidomethylation; Deamidation (NQ),255487,Lipase EstA
90,5959,KNOT_7996778_PROKKA_429943,26.36,4,0,4,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,5.5E5,,,,,,,1.75E6,,3.07E6,,6E5,,,,,,,1.5E6,,,,,,,,,,,,2.16E6,,,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,22762,hypothetical protein
151,6033,KNOT_31046145_PROKKA_818185,26.22,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1.34E4,,,,,,,,,,,,,,2.21E5,,,2.73E4,,,,,,,,,,,,,,,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carbamidomethylation; Deamidation (NQ),32467,hypothetical protein
243,13856,KNOT_254793_PROKKA_16483,26.20,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,1.4E5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.98E4,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,39104,Holliday junction ATP-dependent DNA helicase RuvB
205,15849,KNOT_8565635_PROKKA_451042,26.12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1E5,,,,0E0,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,,26392,RNA polymerase sigma factor RpoH
5,5951,KNOT_6855810_PROKKA_384782,26.10,5,0,5,5,0,5,0,0,0,5,5,5,5,5,5,5,5,0,5,5,5,5,5,0,0,5,0,0,5,0,5,5,5,0,5,,4.67E4,4.75E5,,1.31E5,,,,1.56E6,1.08E6,1.36E4,4.9E5,2.75E1,1.18E6,6.49E5,5.17E3,,1.65E6,7E6,1.85E6,1.48E6,1.55E6,,,2.94E6,,,1.16E5,,9.48E5,9.23E5,5.13E4,,5.6E5,1,1,0,1,3,0,1,0,0,0,8,5,2,3,1,7,3,1,0,12,14,7,10,5,0,0,17,0,0,5,0,4,8,2,0,6,,18653,hypothetical protein
870,14556,KNOT_29726032_PROKKA_799506,26.01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,5.19E4,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,15758,3-oxoacyl-[acyl-carrier-protein] synthase 2
870,14819,KNOT_12836099_PROKKA_572768,26.01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,5.19E4,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,15751,3-oxoacyl-[acyl-carrier-protein] synthase 2
870,14820,KNOT_5847720_PROKKA_347557,26.01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,5.19E4,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,16474,3-oxoacyl-[acyl-carrier-protein] synthase 2
870,14821,KNOT_6201773_PROKKA_359797,26.01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,5.19E4,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,19607,3-oxoacyl-[acyl-carrier-protein] synthase 2
870,14822,GROUPS_9901789_PROKKA_249652,26.01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,5.19E4,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,19218,3-oxoacyl-[acyl-carrier-protein] synthase 2
226,13906,KNOT_1870574_PROKKA_125500,25.88,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,,,,,,,,,,,,,2.94E5,,,,,,,,,,,,,,,,0E0,,,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,49191,GTPase Der
305,14222,GROUPS_10563420_PROKKA_314301,25.75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,7.02E4,,,,,,,,,0E0,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,44949,DNA ligase
124,7191,KNOT_148100_PROKKA_09391,25.73,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,,,,,,,5.86E4,,,,,,,,,,,6.99E3,,,,,,,,,,,,9.51E3,,,,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,16412,Ribosome association toxin RatA
781,13552,KNOT_2802314_PROKKA_193311,25.71,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0E0,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Deamidation (NQ),25246,Carbonic anhydrase 2
204,11985,GROUPS_13952032_PROKKA_576492,25.70,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1.54E5,,,,,,,,,,,,,,,5.16E4,6.83E4,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12799,Amylosucrase
204,11986,KNOT_13393004_PROKKA_581521,25.70,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1.54E5,,,,,,,,,,,,,,,5.16E4,6.83E4,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,31532,Amylosucrase
204,11987,KNOT_10346772_PROKKA_501784,25.70,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1.54E5,,,,,,,,,,,,,,,5.16E4,6.83E4,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,51246,Amylosucrase
37,8986,GROUPS_11465687_PROKKA_388925,25.56,4,0,0,0,0,0,0,0,0,4,4,4,4,0,4,4,0,4,0,0,4,4,0,0,0,0,0,0,0,0,0,4,4,4,4,,,,,,,,,1.17E6,8.62E5,1.99E6,6.52E5,,2.1E5,7.47E5,,5.15E5,,,1.4E6,9.56E5,,,,,,,,,,3.84E5,2.06E6,4.29E5,1.21E5,1,1,0,0,0,0,0,0,0,0,1,2,2,2,0,1,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,1,1,,23435,hypothetical protein
19,2544,KNOT_2519828_PROKKA_172943,25.54,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,,,,1.06E7,1.84E6,2.69E6,4.5E6,3.43E6,3.96E6,,5.05E6,1.87E6,4.61E6,5.25E6,,,,4.76E6,4.45E6,5.87E6,2.03E5,1.43E6,,5.14E6,1.56E6,3.46E5,1.47E5,,7.09E6,4.17E6,3.52E6,1.25E5,,1.27E6,1,1,0,0,0,2,1,1,2,1,2,0,2,1,1,2,0,0,0,1,1,2,2,1,0,2,1,3,2,0,1,2,2,1,0,1,,59890,Polyphosphate kinase
93,13466,KNOT_6351330_PROKKA_365377,25.43,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,4,4,0,0,0,0,0,0,4,0,0,,,,,,,,,,,,,,,,,,,1.81E5,,,,,1.22E5,1.85E5,,,,,,,2.76E5,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,Carbamidomethylation,21414,hypothetical protein
256,3616,KNOT_24352679_PROKKA_756217,25.26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0E0,,,,,,3.37E4,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,19665,hypothetical protein
59,2569,KNOT_3039615_PROKKA_210056,25.19,3,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,3.07E6,1.69E6,,4.21E5,9.75E5,,,,,1.5E6,1.81E6,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,30029,Ribosomal large subunit pseudouridine synthase D
145,14925,KNOT_18892_PROKKA_01271,25.16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83E5,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,,17490,putative trans-aconitate 2-methyltransferase
